id,city_id,name,phone_number,address,food_category,latitude,longitude
30001,1,Seoul Central Kitchen,+201-777-0001,"200 Central Street, Seoul",Korean,37.5461000,126.9964000
30002,1,Seoul Riverside Table,+201-777-0002,"201 Riverside Street, Seoul",Korean,37.5512000,126.9918000
30003,1,Seoul Market Dining Room,+201-777-0003,"202 Market Street, Seoul",Korean,37.5563000,126.9872000
30004,1,Seoul Garden Bistro,+201-777-0004,"203 Garden Street, Seoul",Korean,37.5614000,126.9826000
30005,1,Seoul Station House,+201-777-0005,"204 Station Street, Seoul",Korean,37.5665000,126.9780000
30006,1,Seoul Harbor Grill,+201-777-0006,"205 Harbor Street, Seoul",Korean Fusion,37.5716000,126.9734000
30007,1,Seoul Hill Club,+201-777-0007,"206 Hill Street, Seoul",Korean Fusion,37.5767000,126.9688000
30008,1,Seoul Square Canteen,+201-777-0008,"207 Square Street, Seoul",Korean Fusion,37.5818000,126.9642000
30009,1,Seoul Park Atelier,+201-777-0009,"208 Park Street, Seoul",Korean Fusion,37.5869000,126.9596000
30010,1,Seoul Avenue Social,+201-777-0010,"209 Avenue Street, Seoul",Korean Fusion,37.5920000,126.9550000
30011,4,Tokyo Central Kitchen,+204-777-0001,"200 Central Street, Tokyo",Japanese,35.6558000,139.6687000
30012,4,Tokyo Riverside Table,+204-777-0002,"201 Riverside Street, Tokyo",Japanese,35.6609000,139.6641000
30013,4,Tokyo Market Dining Room,+204-777-0003,"202 Market Street, Tokyo",Japanese,35.6660000,139.6595000
30014,4,Tokyo Garden Bistro,+204-777-0004,"203 Garden Street, Tokyo",Japanese,35.6711000,139.6549000
30015,4,Tokyo Station House,+204-777-0005,"204 Station Street, Tokyo",Japanese,35.6762000,139.6503000
30016,4,Tokyo Harbor Grill,+204-777-0006,"205 Harbor Street, Tokyo",Japanese Fusion,35.6813000,139.6457000
30017,4,Tokyo Hill Club,+204-777-0007,"206 Hill Street, Tokyo",Japanese Fusion,35.6864000,139.6411000
30018,4,Tokyo Square Canteen,+204-777-0008,"207 Square Street, Tokyo",Japanese Fusion,35.6915000,139.6365000
30019,4,Tokyo Park Atelier,+204-777-0009,"208 Park Street, Tokyo",Japanese Fusion,35.6966000,139.6319000
30020,4,Tokyo Avenue Social,+204-777-0010,"209 Avenue Street, Tokyo",Japanese Fusion,35.7017000,139.6273000
30021,7,Beijing Central Kitchen,+207-777-0001,"200 Central Street, Beijing",Northern Chinese,39.8838000,116.4258000
30022,7,Beijing Riverside Table,+207-777-0002,"201 Riverside Street, Beijing",Northern Chinese,39.8889000,116.4212000
30023,7,Beijing Market Dining Room,+207-777-0003,"202 Market Street, Beijing",Northern Chinese,39.8940000,116.4166000
30024,7,Beijing Garden Bistro,+207-777-0004,"203 Garden Street, Beijing",Northern Chinese,39.8991000,116.4120000
30025,7,Beijing Station House,+207-777-0005,"204 Station Street, Beijing",Northern Chinese,39.9042000,116.4074000
30026,7,Beijing Harbor Grill,+207-777-0006,"205 Harbor Street, Beijing",Northern Chinese Fusion,39.9093000,116.4028000
30027,7,Beijing Hill Club,+207-777-0007,"206 Hill Street, Beijing",Northern Chinese Fusion,39.9144000,116.3982000
30028,7,Beijing Square Canteen,+207-777-0008,"207 Square Street, Beijing",Northern Chinese Fusion,39.9195000,116.3936000
30029,7,Beijing Park Atelier,+207-777-0009,"208 Park Street, Beijing",Northern Chinese Fusion,39.9246000,116.3890000
30030,7,Beijing Avenue Social,+207-777-0010,"209 Avenue Street, Beijing",Northern Chinese Fusion,39.9297000,116.3844000
30031,8,Shanghai Central Kitchen,+208-777-0001,"200 Central Street, Shanghai",Shanghainese,31.2100000,121.4921000
30032,8,Shanghai Riverside Table,+208-777-0002,"201 Riverside Street, Shanghai",Shanghainese,31.2151000,121.4875000
30033,8,Shanghai Market Dining Room,+208-777-0003,"202 Market Street, Shanghai",Shanghainese,31.2202000,121.4829000
30034,8,Shanghai Garden Bistro,+208-777-0004,"203 Garden Street, Shanghai",Shanghainese,31.2253000,121.4783000
30035,8,Shanghai Station House,+208-777-0005,"204 Station Street, Shanghai",Shanghainese,31.2304000,121.4737000
30036,8,Shanghai Harbor Grill,+208-777-0006,"205 Harbor Street, Shanghai",Shanghainese Fusion,31.2355000,121.4691000
30037,8,Shanghai Hill Club,+208-777-0007,"206 Hill Street, Shanghai",Shanghainese Fusion,31.2406000,121.4645000
30038,8,Shanghai Square Canteen,+208-777-0008,"207 Square Street, Shanghai",Shanghainese Fusion,31.2457000,121.4599000
30039,8,Shanghai Park Atelier,+208-777-0009,"208 Park Street, Shanghai",Shanghainese Fusion,31.2508000,121.4553000
30040,8,Shanghai Avenue Social,+208-777-0010,"209 Avenue Street, Shanghai",Shanghainese Fusion,31.2559000,121.4507000
30041,13,Hong Kong Central Kitchen,+213-777-0001,"200 Central Street, Hong Kong",Cantonese,22.2989000,114.1878000
30042,13,Hong Kong Riverside Table,+213-777-0002,"201 Riverside Street, Hong Kong",Cantonese,22.3040000,114.1832000
30043,13,Hong Kong Market Dining Room,+213-777-0003,"202 Market Street, Hong Kong",Cantonese,22.3091000,114.1786000
30044,13,Hong Kong Garden Bistro,+213-777-0004,"203 Garden Street, Hong Kong",Cantonese,22.3142000,114.1740000
30045,13,Hong Kong Station House,+213-777-0005,"204 Station Street, Hong Kong",Cantonese,22.3193000,114.1694000
30046,13,Hong Kong Harbor Grill,+213-777-0006,"205 Harbor Street, Hong Kong",Cantonese Fusion,22.3244000,114.1648000
30047,13,Hong Kong Hill Club,+213-777-0007,"206 Hill Street, Hong Kong",Cantonese Fusion,22.3295000,114.1602000
30048,13,Hong Kong Square Canteen,+213-777-0008,"207 Square Street, Hong Kong",Cantonese Fusion,22.3346000,114.1556000
30049,13,Hong Kong Park Atelier,+213-777-0009,"208 Park Street, Hong Kong",Cantonese Fusion,22.3397000,114.1510000
30050,13,Hong Kong Avenue Social,+213-777-0010,"209 Avenue Street, Hong Kong",Cantonese Fusion,22.3448000,114.1464000
30051,16,Singapore Central Kitchen,+216-777-0001,"200 Central Street, Singapore",Singaporean,1.3317000,103.8382000
30052,16,Singapore Riverside Table,+216-777-0002,"201 Riverside Street, Singapore",Singaporean,1.3368000,103.8336000
30053,16,Singapore Market Dining Room,+216-777-0003,"202 Market Street, Singapore",Singaporean,1.3419000,103.8290000
30054,16,Singapore Garden Bistro,+216-777-0004,"203 Garden Street, Singapore",Singaporean,1.3470000,103.8244000
30055,16,Singapore Station House,+216-777-0005,"204 Station Street, Singapore",Singaporean,1.3521000,103.8198000
30056,16,Singapore Harbor Grill,+216-777-0006,"205 Harbor Street, Singapore",Singaporean Fusion,1.3572000,103.8152000
30057,16,Singapore Hill Club,+216-777-0007,"206 Hill Street, Singapore",Singaporean Fusion,1.3623000,103.8106000
30058,16,Singapore Square Canteen,+216-777-0008,"207 Square Street, Singapore",Singaporean Fusion,1.3674000,103.8060000
