id,city_id,name,phone_number,address,food_category,latitude,longitude
1,1,Jungsik Seoul,02-517-4654,"11 Seolleung-ro 158-gil, Gangnam District, Seoul, South Korea",Korean restaurant,37.5256734,127.0410846
2,1,Babylon restaurant Seoul,,"35 116، 82 Samcheong-ro, Jongno District, Seoul, South Korea",Family restaurant,37.5826734,126.9820035
3,1,Vegan Kitchen,02-777-8819,"21 Toegye-ro 20-gil, Jung District, Seoul, South Korea",Vegan restaurant,37.5592554,126.9859855
4,1,Seouljip,02-2269-1602,"South Korea, Seoul, Jung District, Eulji-ro 44-gil, 6 2층",Restaurant,37.5658763,127.0065052
5,1,Myeongdong Korean BBQ Mongvely,02-318-2688,"South Korea, Seoul, Jung District, Myeongdong 8na-gil, 9 3층",Korean barbecue restaurant,37.5613570,126.9844162
6,4,Japanese food Wagyu Restaurant (Halal) Steak&Burger-Ramen 5W-Tokyo AkihabaraUeno Beef Dining,080-6265-5933,"Japan, 〒110-0016 Tokyo, Taito City, Taitō, 2-chōme−5−３ 2F",Hamburger restaurant,35.7026268,139.7780980
7,4,Ise Sueyoshi,03-6427-2314,"Japan, 〒106-0031 Tokyo, Minato City, Nishiazabu, 4-chōme−2−１５ 水野ビル 3F",Japanese restaurant,35.6586527,139.7235382
8,4,Tapas Molecular Bar,03-3270-8188,"2-chōme-1-1 Nihonbashimuromachi, Chuo City, Tokyo 103-8328, Japan",Tapas restaurant,35.6870501,139.7730495
9,4,CENSU TOKYO,03-6434-5883,"2-chōme-12-9 Jingūmae, Shibuya, Tokyo 150-0001, Japan",Japanese restaurant,35.6743246,139.7123979
10,4,NOBU Tokyo,050-3145-0011,"Japan, 〒105-0001 Tokyo, Minato City, Toranomon, 4-chōme−1−２８ １Ｆ",Japanese restaurant,35.6663129,139.7437919
11,13,Pici Central,2755 5233,"24 - 26 Aberdeen Street 中環蘇豪, 地舖, Aberdeen St, Central, Hong Kong",Italian restaurant,22.2830887,114.1522726
12,13,"Tin Lung Heen | The Ritz-Carlton, Hong Kong",2263 2270,"102/F, The Ritz-Carlton, Hong Kong, International Commerce Centre (ICC), 1 Austin Rd W, Tsim Sha Tsui, Hong Kong",Cantonese restaurant,22.3034650,114.1602232
13,13,Carat Fine Indian and Mediterranean Cuisine,2391 3929,"4F, Winfield Commercial Building, 6-8A Prat Ave, Tsim Sha Tsui, Hong Kong",Indian restaurant,22.2986137,114.1742646
14,13,Embla,2559 8508,"11 Upper Station St, Sheung Wan, Hong Kong",Restaurant,22.2849753,114.1481734
15,13,Mott 32,2885 8688,"4-4A Des Voeux Rd Central, Central, Hong Kong",Chinese restaurant,22.2806407,114.1591079
